time,vrms,irms,p_est,pf,vrms_raw,irms_raw,pactive_raw,pimag_raw,papparent_raw
2026-07-08T16:57:22,,,,-0.3330078125,13909,0,-2,8,9
2026-07-08T16:57:23,,,,-0.28515625,13886,0,-1,6,7
2026-07-08T16:57:24,,,,-0.375,13902,0,-2,7,8
2026-07-08T16:57:25,,,,-0.375,13901,0,-2,7,8
2026-07-08T16:57:26,,,,-0.5,13893,0,-2,6,8
2026-07-08T16:57:27,,,,-0.5712890625,13899,0,-2,7,7
2026-07-08T16:57:28,,,,-0.375,13897,0,-2,7,8
2026-07-08T16:57:29,,,,-0.427734375,13904,0,-2,6,7
2026-07-08T16:57:30,,,,-0.427734375,13894,0,-2,6,7
2026-07-08T16:57:31,,,,-0.375,13898,0,-2,7,8
2026-07-08T16:57:32,,,,-0.427734375,13880,0,-2,6,7
2026-07-08T16:57:33,,,,-0.25,13868,0,-1,7,8
